Id,SalePrice
1461,120507.24839453216
1462,144128.50640915698
1463,168754.9730808493
1464,179770.82443777414
1465,199129.8361297407
1466,179379.65171884198
1467,167537.2269507726
1468,168248.23346413526
1469,181953.12119002032
1470,117804.1362149088
1471,189479.52797231427
1472,97120.76359151841
1473,95874.39629577576
1474,157342.90591082766
1475,142287.76931182574
1476,436695.8889434934
1477,276099.8057177372
1478,316457.1616229025
1479,291285.32716257434
1480,486235.6281721731
1481,329115.5287286362
1482,216829.98495712283
1483,182336.95505408102
1484,173182.64809626754
1485,164608.19816058775
1486,198719.78292545298
1487,350681.86122818966
1488,251894.8439279081
1489,208529.2190018545
1490,187002.77672262432
1491,192604.15328248873
1492,100342.68431048626
1493,176835.86956597987
1494,299005.30852054374
1495,260095.4965689798
1496,211795.25301065025
1497,190660.67485884993
1498,153864.42020658977
1499,153864.42020658977
1500,150048.82827453862
1501,173299.4047904674
1502,141336.14350594612
1503,311901.7375756626
1504,226069.2386655685
1505,216101.0821135354
1506,207910.14405735632
1507,226890.9816006142
1508,198220.2480850154
1509,165790.0199245473
1510,146535.4078129808
1511,148827.05021320935
1512,164546.6500212529
1513,166371.96927814517
1514,134358.969249562
1515,177229.8914360942
1516,156018.2864724354
1517,141539.62236230003
1518,165627.8301962637
1519,207674.6550765412
1520,137633.10074186418
1521,140806.7154513852
1522,177453.84015850213
1523,120829.54952456454
1524,118692.16935667199
1525,124385.43976540603
1526,129594.24726194437
1527,75116.31718592069
1528,124035.6145946256
1529,147888.30620812668
1530,145811.96699093888
1531,104051.60344503117
1532,90829.62995366813
1533,151313.2167570417
1534,123796.62852611241
1535,141639.09866796763
1536,107527.58183625703
1537,69302.50664257041
1538,141597.32542554947
1539,155610.96119555424
1540,130409.28497677152
1541,157464.9853168903
1542,136517.3141585865
1543,221949.0259726023
1544,77358.85530654833
1545,106043.59886256905
1546,121530.57817156156
1547,126028.6647336122
1548,135287.6107105611
1549,90359.5996132445
1550,137890.47172383682
1551,114532.73445438067
1552,143221.16419358205
1553,131342.63075658216
1554,100052.34443038472
1555,171835.05594937527
1556,106104.13034705419
1557,117130.26453336365
1558,100922.36433454223
1559,126048.25963003449
1560,142547.56257881614
1561,157690.24030749596
1562,118400.76946298934
1563,120090.92781990614
1564,167087.06554591714
1565,143525.520226119
1566,178401.97830870096
1567,73760.30913958096
1568,201132.1886023213
1569,108070.10980852647
1570,105892.92021259885
1571,125075.05250321796
1572,136069.2544051298
1573,237267.83624440382
1574,155323.17390612848
1575,192524.48736586492
1576,202101.89551191995
1577,206989.03797576396
1578,116284.23066818046
1579,143426.83270204358
1580,197429.76917984092
1581,135843.45335119593
1582,129287.55865054792
